============================================================
RELATÓRIO FINAL CONSOLIDADO - SISTEMA DE PEÇAS
============================================================
Data/Hora da exportação: 31/08/2026 23:24:30
============================================================

RESUMO GERAL
----------------------------------------
Total de peças processadas: 284
▶ Peças APROVADAS: 284 (100.0%)
▶ Peças REPROVADAS: 0 (0.0%)

DETALHAMENTO POR COR
----------------------------------------
▶ Aprovadas - Cor AZUL: 160 (56.3% do total)
▶ Aprovadas - Cor VERDE: 124 (43.7% do total)

ARMAZENAMENTO
----------------------------------------
▶ Caixas utilizadas: 28
▶ Caixa atual: 4/10 peças

LISTA COMPLETA DE PEÇAS
----------------------------------------
  P001 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:21:42
  P0048 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0049 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0050 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0051 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0052 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0053 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0054 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0055 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0056 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0057 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0058 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0059 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0060 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0061 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0062 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0063 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0064 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0065 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0066 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0067 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0068 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0069 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0070 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0071 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0072 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0073 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0074 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0075 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0076 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0077 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0078 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0079 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0080 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0081 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0082 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0083 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0084 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0085 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0086 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0087 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0088 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0089 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0090 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0091 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0092 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0093 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0094 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0095 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0096 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0097 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0098 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0099 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0100 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0101 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0102 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0103 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0104 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0105 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0106 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0107 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0108 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0109 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0110 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0111 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0112 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0113 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0114 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0115 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0116 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0117 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0118 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0119 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0120 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0121 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0122 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0123 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0124 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0125 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0126 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0127 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0128 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0129 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0130 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0131 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0132 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0133 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0134 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0135 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0136 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0137 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0138 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0139 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0140 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0141 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0142 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0143 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0144 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0145 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0146 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0147 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0148 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0149 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0150 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0151 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0152 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0153 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0154 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0155 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0156 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0157 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0158 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0159 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0160 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0161 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0162 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0163 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0164 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0165 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0166 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0167 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0168 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0169 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0170 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0171 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0172 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0173 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0174 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0175 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0176 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0177 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0178 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0179 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0180 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0181 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0182 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0183 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0184 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0185 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0186 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0187 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0188 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0189 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0190 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0191 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0192 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0193 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0194 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0195 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0196 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0197 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0198 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0199 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0200 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0201 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0202 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0203 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0204 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0205 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0206 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0207 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0208 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0209 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0210 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0211 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0212 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0213 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0214 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0215 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0216 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0217 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0218 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0219 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0220 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0221 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0222 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0223 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0224 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0225 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0226 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0227 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0228 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0229 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0230 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0231 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0232 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0233 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0234 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0235 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0236 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0237 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0238 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0239 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0240 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0241 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0242 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0243 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0244 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0245 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0246 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0247 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0248 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0249 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0250 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0251 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0252 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0253 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0254 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0255 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0256 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0257 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0258 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0259 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0260 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0261 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0262 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0263 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0264 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0265 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0266 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0267 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0268 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0269 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0270 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0271 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0272 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0273 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0274 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0275 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0276 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0277 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0278 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0279 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0280 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0281 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0282 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09
  P0283 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:24:09

============================================================
FIM DO RELATÓRIO
============================================================
